Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit,Coordinates
Dong Hyun Ma,8,2.84,41,4.1,54,1.27,53,33,0.0,"(9, 11)"
Dong Sik Yoon,9,0.99,36,2.33,51,1.6,29,33,1.3,"(5, 11)"
Dongi Yang,5,3.55,51,3.21,63,1.7,41,61,0.5,"(9, 9)"
Dooho Choi,6,5.32,51,6.38,53,0.41,20,50,0.0,"(9, 10)"
Doug Marshall,5,6.99,46,4.02,60,0.0,0,66,2.4,"(9, 10)"
Douglas Silva de Andrade,7,3.96,38,4.43,58,0.65,50,65,0.0,"(8, 11)"
Drakkar Klose,7,3.89,53,3.64,53,1.56,30,68,0.0,"(9, 9)"
Drew Dober,15,4.51,40,4.16,53,0.95,17,62,0.1,"(8, 9)"
Drew Fickett,9,2.33,41,2.29,57,1.3,35,30,2.2,"(5, 11)"
Drew McFedries,9,5.13,51,4.56,52,1.42,100,56,0.7,"(7, 11)"
Duane Ludwig,17,4.62,44,3.05,57,0.43,25,59,0.1,"(8, 9)"
Dustin Hazelett,10,2.24,40,3.51,46,0.55,50,25,4.1,"(4, 11)"
Dustin Kimura,5,1.33,21,3.82,51,0.93,37,50,2.2,"(9, 8)"
Dustin Ortiz,16,2.94,44,2.17,56,3.01,36,52,0.1,"(6, 8)"
Dustin Pague,6,1.65,53,2.96,41,1.03,44,55,2.6,"(7, 8)"
Dustin Poirier,25,5.51,49,3.97,56,1.55,37,61,1.2,"(6, 10)"
Dylan Andrews,5,2.21,50,2.72,46,2.83,50,57,0.4,"(6, 11)"
Ebenezer Fontes Braga,5,2.42,50,0.42,71,0.0,0,90,0.6,"(6, 9)"
Ed Herman,25,3.33,49,3.13,44,2.2,48,59,1.2,"(6, 10)"
Ed Ratcliff,6,2.71,38,2.96,63,0.28,16,53,0.0,"(8, 8)"
Eddie Alvarez,13,4.32,41,4.39,55,2.92,36,92,0.5,"(7, 10)"
Eddie Gordon,4,2.03,32,2.57,60,1.93,83,63,0.0,"(7, 12)"
Eddie Sanchez,6,3.45,43,3.3,43,1.13,26,42,0.0,"(10, 10)"
Eddie Wineland,20,3.41,29,3.51,70,0.28,28,86,0.1,"(6, 9)"
Edgar Garcia,5,3.16,29,4.23,60,2.21,57,50,0.6,"(10, 10)"
Edmen Shahbazyan,4,4.11,52,2.16,62,6.77,40,75,0.8,"(5, 9)"
Edson Barboza,22,4.01,43,4.16,60,0.49,44,80,0.1,"(6, 10)"
Edwin DeWees,4,1.53,33,6.19,39,2.18,66,0,3.3,"(9, 12)"
Edwin Figueroa,6,2.57,39,3.06,51,0.2,100,37,0.6,"(7, 12)"
Efrain Escudero,12,2.92,44,2.3,63,1.31,40,66,0.8,"(8, 10)"
Eiji Mitsuoka,5,1.49,49,2.26,45,2.3,36,20,1.6,"(5, 11)"
Elias Silverio,5,3.67,49,2.97,51,1.62,38,85,0.2,"(9, 9)"
Elias Theodorou,11,4.19,42,2.39,53,1.27,28,59,0.0,"(8, 10)"
Eliot Marshall,6,1.93,27,2.39,67,0.47,33,79,0.9,"(6, 9)"
Elizabeth Phillips,4,2.6,33,3.07,58,0.75,25,53,0.2,"(8, 8)"
Elizeu Zaleski dos Santos,10,4.17,39,3.13,59,0.65,20,48,0.5,"(10, 10)"
Elvis Sinosic,7,1.13,37,4.6,53,0.0,0,0,1.2,"(9, 8)"
Emil Meek,4,2.52,39,2.53,38,0.25,33,47,1.0,"(8, 12)"
Emily Whitmire,4,2.84,31,2.95,55,1.18,66,66,0.6,"(7, 12)"
Enrique Barzola,10,3.91,41,2.97,68,4.2,45,66,0.3,"(5, 9)"
Enson Inoue,7,1.7,63,1.88,30,0.0,0,33,0.0,"(4, 9)"
Eric Lawson,7,1.58,57,1.97,44,8.88,42,0,3.0,"(5, 12)"
Eric Schafer,9,1.89,34,3.38,56,1.81,36,50,1.8,"(6, 8)"
Eric Shelton,6,2.57,42,1.88,63,2.83,51,46,0.2,"(8, 12)"
Eric Spicely,7,3.71,45,5.72,55,1.31,20,75,1.0,"(8, 9)"
Erick Silva,15,2.5,48,4.18,49,0.85,35,56,1.4,"(8, 10)"
Erik Koch,14,2.33,42,2.82,47,1.02,42,81,1.0,"(8, 10)"
Erik Perez,9,3.16,40,2.09,66,3.16,55,69,0.2,"(7, 9)"
Eryk Anders,9,3.06,45,4.15,52,1.51,40,76,0.1,"(8, 10)"
Estevan Payan,5,4.25,42,3.58,57,0.36,100,60,0.4,"(7, 11)"
Eugene Jackson,11,2.19,33,3.44,32,1.91,71,16,2.3,"(9, 12)"
Evan Dunham,21,5.35,39,3.54,61,1.83,33,80,1.0,"(8, 10)"
Evan Tanner,17,3.05,59,2.64,56,2.55,43,25,1.3,"(5, 10)"
Evangelista Santos,8,3.94,36,6.01,49,0.78,100,50,0.4,"(7, 11)"
Fabiano Iha,8,1.73,47,2.49,42,2.88,40,50,2.9,"(6, 8)"
Fabio Maldonado,11,5.29,58,4.31,53,0.44,57,61,0.6,"(8, 11)"
Fabricio Camoes,7,1.29,33,1.85,61,2.34,32,20,1.5,"(5, 11)"
Fabricio Werdum,31,3.61,51,2.45,56,1.65,30,31,1.1,"(5, 10)"
Falaniko Vitale,5,1.88,49,3.68,47,0.72,33,86,0.0,"(6, 9)"
Fedor Emelianenko,27,3.18,51,1.0,63,2.0,63,82,1.9,"(6, 10)"
Felice Herrig,8,3.69,36,4.89,50,1.2,30,76,0.9,"(6, 9)"
Felicia Spencer,4,4.54,55,6.27,44,1.36,16,0,0.7,"(10, 9)"
Felipe Arantes,12,2.37,45,2.66,64,0.93,47,41,0.7,"(8, 12)"
Fernando Gonzalez,4,4.47,47,4.03,65,0.86,33,43,1.4,"(10, 10)"
Forrest Griffin,18,4.38,36,2.81,61,1.05,48,57,0.7,"(8, 10)"
Forrest Petz,7,2.27,29,2.2,57,1.3,100,66,0.0,"(7, 12)"
Francimar Barroso,9,2.77,52,3.07,59,2.22,24,83,0.0,"(9, 9)"
Francis Carmont,9,2.22,42,1.64,59,1.79,36,73,0.6,"(7, 9)"
Francis Ngannou,11,2.15,37,1.97,48,0.0,0,71,0.5,"(8, 8)"
Francisco Rivera,12,4.07,41,3.16,68,1.01,63,68,0.6,"(8, 11)"
Francisco Trinaldo,21,3.13,43,2.59,59,1.02,44,61,0.5,"(6, 10)"
Frank Camacho,6,6.68,46,7.14,52,1.18,45,72,0.0,"(9, 10)"
Frank Gomez,4,1.52,48,0.79,66,1.14,60,70,0.8,"(7, 9)"
Frank Mir,27,2.18,47,3.84,38,2.02,40,54,2.0,"(6, 10)"
Frank Shamrock,11,4.75,53,4.66,57,0.35,50,37,1.1,"(9, 11)"
Frank Trigg,13,2.79,46,1.9,56,2.35,47,75,0.8,"(7, 9)"
Frankie Edgar,26,3.6,40,2.48,68,2.34,31,65,0.3,"(6, 10)"
Frankie Perez,4,1.64,41,2.17,54,1.75,41,50,0.3,"(8, 12)"
Frankie Saenz,9,3.97,46,3.15,54,1.77,32,62,0.1,"(8, 10)"
Fredson Paixao,5,1.71,54,2.31,62,0.62,11,10,2.2,"(5, 11)"
Fredy Serrano,4,1.58,26,1.89,61,2.84,25,84,0.0,"(7, 9)"
Gabriel Benitez,8,4.32,41,2.93,71,0.21,100,56,1.5,"(7, 11)"
Gabriel Gonzaga,23,2.12,45,2.94,57,2.8,39,66,1.1,"(6, 10)"
Gadzhimurad Antigulov,4,2.32,51,5.92,21,8.7,41,0,3.5,"(5, 12)"
Gan McGee,6,2.2,29,2.31,59,0.65,25,83,0.0,"(6, 9)"
Garreth McLellan,5,3.56,54,2.94,45,1.15,22,34,0.9,"(9, 11)"
Gary Goodridge,30,1.84,56,2.14,48,0.4,100,53,0.8,"(7, 12)"
Gasan Umalatov,4,2.23,39,4.1,59,0.75,17,90,0.0,"(6, 9)"
Gavin Tucker,4,2.66,37,4.04,58,2.08,33,33,1.0,"(5, 11)"
Geane Herrera,4,1.51,31,5.07,52,0.83,37,38,0.6,"(9, 8)"
Gegard Mousasi,35,3.75,50,1.21,68,1.59,60,59,1.1,"(6, 10)"
Geoff Neal,5,6.04,49,3.57,65,0.85,50,92,0.4,"(8, 11)"
George Roop,16,3.43,34,2.47,60,1.05,57,59,0.1,"(6, 10)"
George Sotiropoulos,12,2.61,27,2.52,67,2.32,31,53,1.6,"(6, 8)"
George Sullivan,7,3.53,39,2.42,57,1.37,20,38,0.7,"(8, 8)"
Georges St-Pierre,28,3.78,53,1.4,72,4.16,74,83,1.1,"(6, 10)"
Gerald Harris,5,1.41,29,1.58,62,2.96,54,72,0.0,"(7, 9)"
Gerald Meerschaert,10,3.32,43,3.4,52,2.37,43,46,1.7,"(9, 11)"
Germaine de Randamie,11,2.72,47,2.15,64,0.0,0,71,0.2,"(8, 9)"
Gesias Cavalcante,8,1.98,35,3.11,51,1.25,36,66,1.1,"(7, 9)"
Gian Villante,21,4.26,42,5.34,55,0.53,23,83,0.0,"(8, 9)"
Gilbert Burns,14,3.13,44,3.02,56,2.39,38,44,0.7,"(6, 8)"
Gilbert Melendez,25,3.44,33,2.53,63,1.64,41,71,0.2,"(6, 10)"
Gilbert Yvel,14,1.05,47,1.78,50,0.0,0,25,1.0,"(4, 9)"
Gillian Robertson,7,2.18,50,2.75,54,3.44,47,0,1.3,"(5, 12)"
Gina Carano,8,4.5,47,2.66,64,1.24,66,85,1.6,"(8, 11)"
Gina Mazany,4,2.72,49,2.84,50,3.18,77,20,0.0,"(6, 12)"
Gleison Tibau,28,1.95,31,2.51,63,4.08,53,92,0.8,"(6, 10)"
Glover Teixeira,23,3.41,44,3.84,54,2.0,38,60,1.0,"(6, 10)"
Godofredo Pepey,11,2.32,38,3.23,47,0.37,7,35,1.5,"(9, 8)"
Goran Reljic,4,1.69,37,2.69,59,1.69,50,33,1.1,"(8, 12)"
Gray Maynard,20,1.92,32,2.64,66,2.91,47,81,0.7,"(7, 9)"
Greg Hardy,5,4.77,49,3.21,56,0.0,0,83,0.0,"(8, 9)"
Gregor Gillespie,7,3.58,49,2.14,60,7.02,47,0,0.9,"(5, 12)"
Guido Cannetti,6,2.85,51,2.17,50,2.64,50,75,0.3,"(7, 9)"
Gunnar Nelson,13,1.71,57,3.33,49,1.72,55,66,0.9,"(6, 11)"
Guy Mezger,15,2.3,32,1.36,72,0.39,50,88,0.0,"(7, 9)"
Hacran Dias,8,2.08,41,3.31,55,2.5,39,76,0.5,"(7, 9)"
Hakeem Dawodu,5,5.28,46,2.31,64,0.0,0,85,0.0,"(8, 9)"
Hannah Cifers,4,4.82,45,5.55,53,0.32,100,64,0.3,"(7, 11)"
Hatsu Hioki,9,2.42,42,2.12,65,2.55,56,54,0.6,"(6, 11)"
Hayato Sakurai,24,2.45,49,1.94,59,1.87,69,56,0.3,"(6, 10)"
Heath Herring,22,2.37,50,1.77,54,1.22,50,32,0.7,"(5, 10)"
Hector Lombard,14,3.02,46,3.35,53,1.69,48,77,0.5,"(8, 10)"
Hector Sandoval,4,3.31,52,2.33,65,3.49,25,71,1.4,"(9, 9)"
Henrique da Silva,6,3.89,60,5.28,40,0.25,14,22,0.2,"(10, 9)"
Henry Briones,5,3.47,42,4.68,53,0.0,0,52,0.6,"(8, 8)"
Henry Cejudo,12,3.82,44,2.73,65,2.16,35,90,0.2,"(7, 10)"
Henry Miller,5,1.25,36,2.16,54,0.55,25,60,0.0,"(7, 8)"
Hermes Franca,12,1.78,39,2.85,55,1.53,36,37,2.4,"(6, 8)"
Hidehiko Yoshida,14,1.05,36,1.89,62,1.09,33,71,2.2,"(6, 8)"
Hideo Tokoro,16,1.78,37,2.01,65,0.87,34,44,2.3,"(6, 8)"
Hiromitsu Kanehara,4,0.76,22,4.39,40,0.0,0,40,0.4,"(9, 8)"
Hiromitsu Miura,5,2.12,34,2.12,58,2.23,50,69,0.6,"(7, 9)"
Hirotaka Yokoi,5,1.52,33,3.42,38,1.87,41,66,0.4,"(7, 9)"
Hiroyuki Takaya,14,3.18,33,3.16,60,0.9,45,66,0.0,"(8, 10)"
Hitomi Akano,4,0.59,45,2.58,55,0.0,0,8,0.5,"(10, 9)"
Holly Holm,11,2.75,35,2.8,57,0.5,27,76,0.1,"(6, 9)"
Hong Man Choi,4,1.32,26,1.46,36,0.71,100,84,0.0,"(7, 12)"
Houston Alexander,6,3.06,54,3.2,52,1.19,57,33,0.0,"(6, 11)"
Hugo Viana,6,3.05,38,3.2,57,0.22,6,50,0.0,"(8, 8)"
Humberto Bandenay,4,2.22,41,4.79,41,2.9,46,62,0.5,"(7, 9)"
Hyun Gyu Lim,7,4.45,41,5.07,51,0.23,100,73,0.2,"(7, 11)"
Ian Freeman,6,2.54,48,3.11,44,1.44,40,80,0.7,"(9, 9)"
Ian Heinisch,4,3.38,50,2.86,59,1.18,19,62,0.5,"(9, 9)"
Ian McCall,9,3.59,39,3.25,67,2.08,30,88,0.0,"(6, 9)"
Igor Araujo,4,1.52,42,2.86,49,0.86,15,22,0.6,"(5, 11)"
Igor Pokrajac,13,2.25,45,4.26,40,0.87,29,51,0.2,"(10, 10)"
Igor Vovchanchyn,27,1.59,49,0.97,63,1.19,66,50,0.5,"(6, 10)"
Ikuhisa Minowa,31,0.88,40,1.66,49,1.82,41,5,1.9,"(5, 10)"
Ildemar Alcantara,7,1.93,38,2.63,50,2.0,68,81,0.9,"(7, 9)"
Ilir Latifi,13,2.01,40,2.84,56,2.02,32,100,0.4,"(7, 10)"
Ion Cutelaba,9,5.29,39,3.26,48,2.59,71,80,0.0,"(8, 11)"
Irene Aldana,8,6.16,38,5.92,63,0.28,50,93,0.1,"(8, 11)"
Isaac Vallie-Flagg,6,5.56,47,5.6,45,0.2,12,58,0.0,"(9, 10)"
Islam Makhachev,9,2.1,56,0.76,72,3.4,68,93,0.8,"(5, 9)"
Ismail Naurdiev,4,3.17,52,1.3,68,1.25,71,70,0.2,"(7, 12)"
Israel Adesanya,8,3.96,48,2.4,65,0.0,0,86,0.3,"(8, 9)"
Iuri Alcantara,19,2.72,45,2.79,49,1.44,62,60,0.8,"(6, 10)"
Ivan Jorge,4,3.41,49,2.91,59,1.56,16,75,0.6,"(9, 9)"
Ivan Menjivar,11,2.78,37,2.76,65,0.56,28,38,1.0,"(10, 10)"
Ivan Salaverry,8,3.01,47,1.19,76,0.49,18,36,2.5,"(7, 8)"
Jacare Souza,28,2.54,46,2.81,62,2.46,38,60,1.4,"(6, 10)"
Jack Hermansson,11,5.13,48,2.56,56,2.23,36,77,0.7,"(8, 11)"
Jack Marshman,7,2.64,28,3.54,57,0.0,0,20,0.0,"(9, 8)"
Jacob Volkmann,10,1.19,34,1.78,52,3.19,48,52,2.0,"(6, 8)"
Jairzinho Rozenstruik,4,3.72,46,3.05,32,0.0,0,75,0.0,"(8, 9)"
Jake Collier,6,4.15,39,3.69,52,0.72,23,67,0.5,"(8, 9)"
Jake Ellenberger,21,2.47,39,2.83,60,2.04,47,86,0.4,"(7, 10)"
Jake Matthews,13,2.98,46,2.16,62,2.2,41,68,0.7,"(8, 10)"
Jake O'Brien,8,1.31,31,1.92,69,6.39,54,25,0.2,"(5, 12)"
Jake Rosholt,4,2.68,53,2.33,49,6.51,68,0,1.8,"(5, 12)"
Jake Shields,20,2.45,36,1.8,56,2.83,29,35,1.2,"(5, 10)"
Jalin Turner,4,5.95,48,3.91,49,0.46,50,76,1.8,"(8, 11)"
James Head,5,2.75,48,3.11,49,0.41,100,66,0.8,"(7, 12)"
James Irvin,11,2.03,48,3.86,35,0.0,0,36,0.5,"(9, 8)"
James Krause,14,4.65,48,4.09,60,1.05,18,50,1.0,"(8, 9)"
James Moontasri,6,2.39,48,3.86,40,0.0,0,79,0.2,"(8, 9)"
James Te Huna,10,4.04,51,2.99,62,2.75,37,58,0.2,"(8, 10)"
James Terry,10,3.23,32,4.77,64,3.31,36,75,0.0,"(7, 10)"
James Thompson,11,5.13,52,3.19,41,3.14,36,53,1.3,"(9, 11)"
James Vick,14,4.13,39,3.31,60,0.26,33,57,0.7,"(10, 10)"
James Wilks,4,1.82,45,2.03,50,1.27,22,66,3.8,"(7, 8)"
Jamie Varner,17,2.92,34,2.55,58,3.49,53,66,0.8,"(7, 9)"
Jan Blachowicz,14,3.45,48,2.77,54,1.16,52,65,0.3,"(8, 10)"
Jared Cannonier,10,3.72,51,2.82,66,0.18,33,51,0.0,"(8, 9)"
Jared Gordon,6,6.26,54,3.9,58,2.98,39,57,0.0,"(8, 11)"
Jared Hamman,8,5.15,42,3.93,55,1.57,46,30,0.0,"(9, 11)"
Jared Rosholt,8,2.08,46,1.52,59,1.83,41,66,0.1,"(7, 9)"
Jarred Brooks,4,2.12,46,1.66,62,4.54,57,69,0.6,"(5, 9)"
Jason Black,6,1.06,47,2.6,45,0.48,33,28,6.2,"(4, 11)"
Jason Brilz,7,2.66,40,1.78,65,2.37,25,25,1.3,"(5, 11)"
Jason Day,4,3.61,54,3.46,47,1.13,100,0,0.0,"(6, 12)"
Jason Dent,4,2.01,39,3.7,62,0.0,0,26,1.4,"(10, 9)"
Jason Gonzalez,4,3.06,39,3.13,58,0.0,0,30,1.0,"(10, 9)"
Jason High,13,1.28,42,1.56,48,2.36,63,37,2.8,"(5, 10)"
Jason Knight,9,2.95,33,3.02,51,1.31,31,47,1.7,"(10, 10)"
Jason Lambert,8,3.21,58,1.84,50,1.35,36,28,2.4,"(5, 11)"
Jason MacDonald,14,1.55,52,2.7,46,1.43,16,35,2.0,"(7, 8)"
Jason Miller,11,1.83,43,2.3,49,1.31,28,43,1.3,"(7, 8)"
Jason Saggo,6,2.5,39,2.94,52,2.33,40,23,0.0,"(5, 11)"
Jason Von Flue,6,1.89,36,3.23,52,0.62,16,58,1.5,"(8, 8)"
Jason Young,4,2.97,37,3.2,50,1.98,66,55,0.0,"(6, 11)"
Javier Vazquez,6,2.43,36,1.99,72,2.56,52,57,1.5,"(7, 9)"
Jay Hieron,8,1.66,32,1.89,61,4.05,60,66,1.0,"(7, 9)"
Jeff Curran,11,1.54,31,2.48,60,0.35,12,35,1.2,"(9, 8)"
Jeff Hougland,4,1.86,48,3.46,47,0.86,18,0,1.1,"(5, 11)"
Jeff Monson,12,0.97,30,2.87,59,1.06,12,66,0.7,"(8, 8)"
Jenel Lausa,4,1.44,42,3.53,53,0.55,66,51,0.8,"(7, 12)"
Jennifer Maia,4,4.05,38,3.78,53,0.25,50,75,0.0,"(8, 11)"
Jens Pulver,20,2.12,37,3.13,56,0.22,33,63,0.3,"(8, 10)"
Jeremy Horn,17,1.19,39,1.99,55,1.83,38,29,1.1,"(5, 10)"
Jeremy Kennedy,4,2.22,46,2.58,47,5.73,52,66,0.0,"(5, 9)"
Jeremy Kimball,4,2.81,46,3.84,49,1.41,20,50,0.0,"(8, 8)"
Jeremy Stephens,33,3.09,40,2.98,58,1.18,38,65,0.4,"(6, 10)"
Jerrod Sanders,4,0.88,64,1.14,46,2.2,33,50,1.6,"(4, 10)"
Jess Liaudin,5,2.46,51,2.76,41,3.28,53,30,1.6,"(6, 11)"
Jessamyn Duke,4,4.83,53,4.43,57,1.27,36,50,1.9,"(9, 11)"
Jesse Forbes,4,2.11,24,4.06,53,1.79,75,66,1.2,"(7, 12)"
Jesse Lennox,4,2.69,32,3.2,64,1.22,66,63,0.3,"(7, 12)"
Jesse Taylor,5,1.94,65,0.55,38,7.28,50,100,3.1,"(5, 9)"
Jessica Aguilar,5,4.93,50,7.19,53,0.94,25,50,0.2,"(9, 10)"
Jessica Andrade,17,6.55,51,5.28,51,3.21,58,76,0.5,"(8, 11)"
Jessica Eye,12,3.79,38,3.39,59,0.46,45,59,0.7,"(10, 10)"
Jessica Penne,8,2.46,33,4.73,48,1.58,25,20,0.6,"(5, 11)"
Jessica-Rose Clark,4,4.53,47,4.73,60,1.0,50,62,0.5,"(8, 11)"
Ji Yeon Kim,6,4.49,33,4.74,59,0.0,0,40,0.0,"(8, 8)"
Jim Alers,4,2.9,40,4.38,56,2.26,41,80,0.3,"(7, 10)"
Jim Miller,34,2.83,40,3.02,59,1.69,41,46,1.9,"(6, 10)"
Jimi Manuwa,12,3.43,54,3.97,49,0.53,18,70,0.4,"(8, 9)"
Jimmie Rivera,9,4.1,40,3.88,61,0.7,23,95,0.0,"(6, 9)"
Jimmy Crute,4,4.08,55,2.23,53,4.63,81,60,2.6,"(5, 9)"
Jimy Hettes,6,3.47,57,3.5,57,5.2,44,61,1.4,"(5, 9)"
Jingliang Li,13,4.51,42,3.69,59,1.32,39,59,0.0,"(8, 10)"
JJ Aldrich,7,3.88,40,4.68,62,0.31,25,53,0.0,"(10, 10)"
Joachim Christensen,4,3.78,41,3.29,46,0.0,0,0,0.0,"(10, 9)"
Joachim Hansen,16,2.01,43,2.04,58,2.21,58,34,1.9,"(5, 10)"
Joanna Jedrzejczyk,14,6.3,48,3.08,64,0.28,62,81,0.1,"(8, 11)"
Joanne Calderwood,10,6.19,47,4.31,53,1.85,56,55,0.5,"(8, 11)"
Joaquim Silva,6,3.92,37,4.43,56,0.24,50,64,0.7,"(8, 11)"
Joby Sanchez,5,3.22,36,2.82,63,0.95,71,51,0.4,"(7, 12)"
Jodie Esquibel,4,4.1,31,7.37,52,0.75,21,83,0.0,"(9, 10)"
Joe Doerksen,11,1.43,42,2.79,50,2.02,33,33,2.3,"(5, 11)"
Joe Duffy,7,2.56,33,3.63,54,0.75,60,64,0.8,"(7, 9)"
Joe Lauzon,27,2.84,39,5.39,54,2.39,45,54,2.0,"(6, 10)"
Joe Proctor,8,3.39,36,3.93,59,0.0,0,70,1.8,"(8, 9)"
Joe Riggs,19,2.41,51,1.69,57,2.45,55,62,0.6,"(6, 10)"
Joe Soto,8,3.36,41,5.37,67,0.85,21,70,1.9,"(8, 9)"
Joe Stevenson,22,2.05,44,2.44,60,2.75,44,39,2.2,"(5, 10)"
Joey Beltran,11,4.92,36,5.27,54,0.48,18,75,0.0,"(9, 10)"
Joey Villasenor,8,2.05,38,3.26,52,0.71,40,53,1.1,"(8, 12)"
John Albert,5,3.05,49,2.82,35,0.0,0,50,6.1,"(4, 11)"
John Alessio,13,2.1,39,2.91,54,1.85,38,70,1.2,"(6, 8)"
John Cholish,4,2.65,49,2.29,73,1.82,31,78,0.4,"(9, 9)"
John Dodson,16,3.3,41,3.59,61,0.76,28,80,0.0,"(6, 9)"
John Hathaway,9,3.4,40,1.8,62,2.61,43,60,0.9,"(7, 9)"
John Howard,14,2.15,50,3.08,51,2.7,49,53,0.4,"(6, 11)"
John Lineker,16,5.36,40,4.27,56,0.56,58,67,0.6,"(8, 11)"
John Maguire,5,1.41,41,2.44,65,2.8,46,77,1.1,"(7, 9)"
John Makdessi,17,5.36,51,3.76,70,0.0,0,88,0.0,"(8, 9)"
John Moraga,14,2.57,43,2.55,56,0.62,23,44,1.1,"(7, 8)"
John Phillips,4,2.64,34,5.01,53,0.0,0,14,0.0,"(10, 9)"
John Salter,4,1.68,32,1.68,68,2.85,46,66,0.5,"(7, 9)"
Johnny Bedford,6,4.53,50,1.75,63,1.83,62,62,0.0,"(8, 11)"
Johnny Case,6,3.95,38,2.66,61,1.7,45,72,0.0,"(8, 11)"
Johnny Eduardo,7,2.89,38,3.34,63,0.0,0,62,0.5,"(8, 8)"
Johnny Walker,5,4.01,70,3.58,30,0.43,100,69,1.3,"(7, 11)"
Johny Hendricks,23,3.49,45,3.99,53,3.83,46,63,0.3,"(6, 10)"
Jon Delos Reyes,4,2.99,38,4.14,51,3.2,83,55,1.9,"(7, 12)"
Jon Fitch,19,2.61,50,1.65,54,3.6,51,56,0.8,"(5, 10)"
Jon Jones,22,4.3,57,2.22,64,1.85,44,95,0.4,"(7, 10)"
Jon Madsen,5,2.46,41,1.18,81,1.32,71,70,0.0,"(7, 12)"
Jon Tuck,9,3.0,40,3.74,60,0.42,33,50,1.0,"(10, 10)"
Jonathan Brookins,6,2.69,39,3.63,56,1.94,17,80,0.3,"(6, 9)"
Jonathan Goulet,9,1.61,41,2.01,46,4.17,70,45,0.6,"(6, 11)"
Jonathan Martinez,4,3.67,47,3.45,59,0.51,28,33,0.0,"(10, 10)"
Jonathan Wilson,4,2.92,48,5.65,56,0.37,100,80,0.0,"(7, 11)"
Jordan Johnson,4,3.45,47,2.64,53,3.25,42,100,1.2,"(7, 10)"
Jordan Mein,12,3.35,44,2.55,69,1.56,58,66,0.2,"(8, 11)"
Jordan Rinaldi,5,1.56,35,2.32,59,1.45,35,20,1.2,"(5, 11)"
Jorge Gurgel,13,3.37,32,3.62,62,0.81,23,60,0.5,"(8, 8)"
Jorge Masvidal,24,4.33,47,2.94,66,1.7,59,78,0.4,"(6, 10)"
Jorge Rivera,16,3.16,48,2.64,54,0.84,50,63,0.1,"(8, 10)"
Jorge Santiago,9,1.69,35,2.62,56,0.58,30,52,0.8,"(7, 8)"
Jose Aldo,24,3.47,44,3.18,65,0.64,65,91,0.1,"(6, 10)"
Jose Quinonez,8,3.41,46,2.58,66,2.58,45,50,0.7,"(6, 11)"
Joseph Benavidez,27,3.53,34,2.55,63,1.5,30,65,0.6,"(6, 10)"
Josh Barnett,29,3.2,50,2.11,57,1.26,55,55,1.4,"(6, 10)"
Josh Emmett,8,3.63,36,3.26,67,1.5,45,50,0.2,"(10, 10)"
Josh Grispi,8,1.44,41,3.71,50,1.97,36,16,2.2,"(5, 11)"
Josh Koscheck,25,1.79,36,2.27,63,2.46,48,64,0.4,"(6, 10)"
Josh Neer,15,3.29,46,3.63,58,1.09,34,46,1.3,"(10, 10)"
Josh Samman,5,2.08,52,2.47,34,1.09,33,33,0.4,"(4, 10)"
Josh Thomson,23,2.59,47,2.12,64,1.92,39,54,1.3,"(6, 10)"
Joshua Burkman,19,2.69,43,3.13,51,2.53,36,72,0.3,"(8, 10)"
Joshua Sampo,4,1.99,36,2.96,55,1.06,33,40,2.1,"(7, 8)"
Juan Adams,4,7.09,55,4.06,34,0.91,66,57,0.0,"(8, 11)"
Julia Budd,4,2.42,74,1.18,47,3.6,57,83,0.0,"(9, 9)"
Julian Erosa,5,4.18,45,5.04,50,0.83,60,58,0.8,"(8, 11)"
Juliana Lima,7,1.94,44,2.11,55,1.72,31,70,0.0,"(7, 9)"
Julianna Pena,6,2.96,51,1.51,47,2.6,52,28,0.9,"(6, 11)"
Julie Kedzie,5,2.9,36,3.18,46,1.14,23,78,0.0,"(6, 9)"
Julio Arce,5,4.25,36,2.87,67,0.58,30,93,0.6,"(6, 9)"
Junior Albini,5,3.98,51,6.08,52,1.54,37,100,0.0,"(7, 10)"
Junior Assuncao,5,3.31,62,2.06,44,2.43,24,66,0.7,"(9, 9)"
Junior Dos Santos,21,4.66,48,3.13,58,0.33,55,81,0.1,"(8, 11)"
Jussier Formiga,15,1.35,39,2.23,64,1.87,35,87,0.6,"(7, 9)"
Justin Buchholz,5,2.35,26,4.14,51,0.0,0,33,0.8,"(9, 8)"
Justin Edwards,7,2.68,42,3.32,51,2.14,26,27,1.0,"(5, 11)"
Justin Eilers,6,2.86,43,5.66,49,0.82,25,50,0.0,"(10, 10)"
Justin Gaethje,6,8.57,55,9.67,54,0.0,0,80,0.0,"(9, 10)"
Justin Lawrence,4,3.84,35,2.83,67,0.72,28,73,0.0,"(6, 9)"
Justin Ledet,6,3.33,39,4.67,49,0.24,50,42,0.2,"(10, 10)"
Justin McCully,4,1.58,37,2.02,46,1.28,44,43,0.0,"(8, 12)"
Justin Salas,7,3.42,43,2.96,68,2.43,20,0,0.0,"(5, 11)"
Justin Scoggins,9,3.56,51,2.16,55,3.42,63,82,0.5,"(5, 9)"
Justin Wilcox,9,3.82,28,2.63,71,1.43,16,100,0.0,"(6, 9)"
